,Bostezo,perCLOS,IndicadorE,IndBostezo,Clase,ClaseTabla
154,0.1,0.9953455783558439,0,0.0,0,0
155,0.1,0.7258074489476279,1,0.5,0,1
156,0.1,0.7190180223564222,1,0.5,0,1
157,0.1,0.8676225778329896,0,0.0,0,0
158,0.1,0.9352376055166378,0,0.0,0,0
159,0.16998396452515918,0.7179752529044265,1,0.5,0,1
160,0.29541488602741495,0.3832899801670524,1,0.5,1,1
161,0.34600563609519447,0.5501126215099497,1,0.5,1,1
162,0.4303802954603297,0.8355761127591232,0,0.0,0,0
163,0.5617597603115947,0.9102691564533327,0,1.0,0,0
164,0.6532184949687778,0.8894705157503235,0,1.0,0,0
165,0.7040940605088176,0.9287005034261503,0,1.0,0,0
166,0.6560653747019558,0.8871833878363592,0,1.0,0,0
167,0.4794178529224273,0.917951472796221,0,1.0,0,0
168,0.19841228917249626,0.9482613134295198,0,0.0,0,0
169,0.14703706157584506,0.9667327433104509,0,0.0,0,0
170,0.38634210617243897,0.9514901922445784,0,0.0,0,0
171,0.4338873300312872,0.6644262325044379,1,0.5,0,1
172,0.5041579123758213,0.5786953606290011,1,1.0,1,0
173,0.5729302264049865,0.8296439597911794,0,1.0,0,0
174,0.5844056376434974,0.8862023753830082,0,1.0,0,0
175,0.4591634417157079,0.41201442426743934,1,1.0,1,0
176,0.23912831656200542,0.8271948423656369,0,0.0,0,0
177,0.10161985665573854,0.9165784635062486,0,0.0,0,0
178,0.18258212809698252,0.6285100347259001,1,0.5,1,1
179,0.1393523886677704,0.6712692566916026,1,0.5,0,1
180,0.1,0.8218994471526262,0,0.0,0,0
181,0.1,0.8948388932580021,0,0.0,0,0
182,0.1,0.9296815158795011,0,0.0,0,0
183,0.1,0.6823836887965375,1,0.5,0,1
195,0.1,0.9757847683524744,0,0.0,0,0
196,0.1,0.9953455783558439,0,0.0,0,0
197,0.1,0.6643017820933976,1,0.5,0,1
198,0.1,0.7320211451220193,1,0.5,0,1
199,0.1,0.9701493342549675,0,0.0,0,0
200,0.1,0.9561446138887344,0,0.0,0,0
201,0.10058839819140572,0.9069609331779038,0,0.0,0,0
202,0.11033041403802243,0.9042840388342256,0,0.0,0,0
203,0.11205998139315251,0.6902418537212062,1,0.5,0,1
204,0.1,0.9747244114387531,0,0.0,0,0
205,0.1,0.9790136471675328,0,0.0,0,0
206,0.1,0.978032634714182,0,0.0,0,0
207,0.1,1.0,0,0.0,0,0
208,0.1,0.9598689834030842,0,0.0,0,0
209,0.1,0.5383319564246001,1,0.5,1,1
210,0.1,0.9461909208537305,0,0.0,0,0
211,0.1,0.9953455783558439,0,0.0,0,0
212,0.1,0.9877481193516353,0,0.0,0,0
213,0.10462576167889262,0.9943645659024931,0,0.0,0,0
229,0.1,0.7640927204817767,1,0.5,0,1
230,0.1,0.9679390614320923,0,0.0,0,0
231,0.1,1.0,0,0.0,0,0
232,0.1,1.0,0,0.0,0,0
233,0.1,0.6312994382189774,1,0.5,1,1
234,0.1,0.6912396975955799,1,0.5,0,1
235,0.1,0.9384664843316962,0,0.0,0,0
236,0.1,0.9603545051571437,0,0.0,0,0
237,0.1,0.9606342748335486,0,0.0,0,0
238,0.1,0.9546517311432708,0,0.0,0,0
239,0.1,0.9874378679485858,0,0.0,0,0
240,0.1,0.9811568019228787,0,0.0,0,0
241,0.1,0.9365607481820891,0,0.0,0,0
242,0.1,0.9803171374167743,0,0.0,0,0
243,0.1,0.6235862742142702,1,0.5,1,1
244,0.1,0.8466399036981851,0,0.0,0,0
264,0.1,1.0,0,0.0,0,0
265,0.1,1.0,0,0.0,0,0
266,0.1,1.0,0,0.0,0,0
267,0.1,1.0,0,0.0,0,0
268,0.1,0.652411527075305,1,0.5,0,1
269,0.1,0.9329103946945597,0,0.0,0,0
270,0.1,0.9953455783558439,0,0.0,0,0
271,0.1,0.9734575575303964,0,0.0,0,0
272,0.1,0.9790136471675328,0,0.0,0,0
273,0.1,1.0,0,0.0,0,0
274,0.1,0.9953455783558439,0,0.0,0,0
286,0.1,1.0,0,0.0,0,0
287,0.1,1.0,0,0.0,0,0
288,0.1,1.0,0,0.0,0,0
289,0.1,0.7647884941771506,1,0.5,0,1
339,0.1,0.8710527077118829,0,0.0,0,0
340,0.1,0.5908470269205555,1,0.5,1,1
341,0.1,0.7582100912114823,1,0.5,0,1
342,0.1,1.0,0,0.0,0,0
343,0.1,0.923177315278122,0,0.0,0,0
344,0.1,0.8126287215590299,0,0.0,0,0
345,0.1,1.0,0,0.0,0,0
346,0.1,0.9536211885416584,0,0.0,0,0
347,0.1,0.7235364568354694,1,0.5,0,1
348,0.1,1.0,0,0.0,0,0
349,0.1,1.0,0,0.0,0,0
350,0.1,1.0,0,0.0,0,0
351,0.1,1.0,0,0.0,0,0
352,0.23569446764166785,1.0,0,0.0,0,0
353,0.3479180633802601,1.0,0,0.0,0,0
354,0.32943747194036155,1.0,0,0.0,0,0
355,0.30803296918242973,1.0,0,0.0,0,0
356,0.23272222733955691,1.0,0,0.0,0,0
357,0.1,1.0,0,0.0,0,0
373,0.1,0.997672789177922,0,0.0,0,0
374,0.1,0.9910563426270642,0,0.0,0,0
375,0.1,0.9966917767245711,0,0.0,0,0
376,0.1,0.9943645659024931,0,0.0,0,0
377,0.1,0.997672789177922,0,0.0,0,0
378,0.1,0.9943645659024931,0,0.0,0,0
379,0.1,1.0,0,0.0,0,0
399,0.1,0.9017638051047963,0,0.0,0,0
400,0.1,0.6092270690596056,1,0.5,1,1
401,0.1,0.8894973266715688,0,0.0,0,0
402,0.1,0.9266301108503608,0,0.0,0,0
408,0.1,0.9446254977775471,0,0.0,0,0
409,0.1,0.9449616604842062,0,0.0,0,0
410,0.1,1.0,0,0.0,0,0
411,0.1,0.9813408579896109,0,0.0,0,0
412,0.1,0.7199580920345383,1,0.5,0,1
413,0.1,0.9168479253684332,0,0.0,0,0
429,0.4383260257229443,0.8644960827008077,0,0.0,0,0
430,0.8428526716423962,0.6081796106136549,1,1.0,1,0
431,0.9048219434989943,0.8408538441052731,0,1.0,0,0
432,0.8528006267085008,0.7179569094249164,1,1.0,0,0
433,0.8426890466204627,0.49103560918082845,1,1.0,1,0
434,0.9600501116750536,0.7318365622195132,1,1.0,0,0
435,0.9915920120958468,0.7743898194968751,1,1.0,0,1
436,0.9544203763617723,0.808750223405951,0,1.0,0,0
437,0.9114520026239317,0.7331776688488085,1,1.0,0,0
441,0.935833086642794,0.7349540265501371,1,1.0,0,0
