;Bostezo;perCLOS;IndicadorE;IndBostezo;Clase;
145;0,1;0,885839947;0;0;0,149066667;
146;0,1;0,867135825;0;0;0,149066667;
147;0,1;0,885839947;0;0;0,149066667;
148;0,1;0,885839947;0;0;0,149066667;
149;0,1;0,908671957;0;0;0,149066667;
150;0,1;0,885839947;0;0;0,149066667;
151;0,1;0,867135825;0;0;0,149066667;
152;0,1;0,885839947;0;0;0,149066667;
153;0,1;0,885839947;0;0;0,149066667;
154;0,1;0,885839947;0;0;0,149066667;
155;0,1;0,885839947;0;0;0,149066667;
156;0,1;0,931503968;0;0;0,149066667;
157;0,1;0,885839947;0;0;0,149066667;
158;0,1;0,977167989;0;0;0,149066667;
159;0,1;0,931503968;0;0;0,149066667;
160;0,1;0,954335979;0;0;0,149066667;
161;0,1;0,958463867;0;0;0,149066667;
162;0,1;0,954335979;0;0;0,149066667;
163;0,1;1;0;0;0,149066667;
164;0,1;0,885839947;0;0;0,149066667;
165;0,1;0,977167989;0;0;0,149066667;
166;0,1;1;0;0;0,149066667;
167;0,1;1;0;0;0,149066667;
168;0,1;1;0;0;0,149066667;
169;0,1;1;0;0;0,149066667;
170;0,1;1;0;0;0,149066667;
171;0,1;1;0;0;0,149066667;
172;0,1;1;0;0;0,149066667;
173;0,1;0,889967835;0;0;0,149066667;
174;0,1;0,908671957;0;0;0,149066667;
175;0,1;1;0;0;0,149066667;
176;0,1;1;0;0;0,149066667;
177;0,1;1;0;0;0,149066667;
178;0,1;1;0;0;0,149066667;
179;0,1;1;0;0;0,149066667;
180;0,1;1;0;0;0,149066667;
181;0,1;1;0;0;0,149066667;
182;0,1;1;0;0;0,149066667;
183;0,1;0,670514742;1;0,5;0,436486643;
184;0,1;0,769199769;1;0,5;0,283312041;
185;0,1;0,954335979;0;0;0,149066667;
186;0,1;1;0;0;0,149066667;
187;0,1;1;0;0;0,149066667;
188;0,1;1;0;0;0,149066667;
189;0,1;0,977167989;0;0;0,149066667;
190;0,1;0,713320614;1;0,5;0,376555503;
191;0,1;1;0;0;0,149066667;
192;0,1;0,801269739;0;0;0,149066667;
193;0,1;0,977167989;0;0;0,149066667;
194;0,1;0,82410175;0;0;0,149066667;
195;0,1;0,889218864;0;0;0,149066667;
196;0,1;1;0;0;0,149066667;
197;0,1;1;0;0;0,149066667;
198;0,1;1;0;0;0,149066667;
199;0,1;1;0;0;0,149066667;
200;0,1;1;0;0;0,149066667;
201;0,1;1;0;0;0,149066667;
202;0,1;0,977167989;0;0;0,149066667;
203;0,1;0,977167989;0;0;0,149066667;
204;0,1;1;0;0;0,149066667;
205;0,1;0,713320614;1;0,5;0,376555503;
206;0,1;0,912799846;0;0;0,149066667;
207;0,1;0,912050875;0;0;0,149066667;
208;0,1;0,606146598;1;0,5;0,723244586;
209;0,1;1;0;0;0,149066667;
210;0,1;1;0;0;0,149066667;
